미세먼지농도
[검색조건]
지점명 : , 자료구분:일자료 , 기간 : 20160101 ~ 20181231

지점번호,지점명,일자,미세먼지농도(㎍/㎥)
268,진도군,2016-01-15,59
273,문경,2016-01-15,44
501,연평도,2016-01-15,27
90,속초,2016-01-16,32
94,광덕산,2016-01-16,44
100,대관령,2016-01-16,36
101,춘천,2016-01-16,54
102,백령도,2016-01-16,51
108,서울,2016-01-16,57
115,울릉도독도(감),2016-01-16,13
116,관악산,2016-01-16,54
119,수원,2016-01-16,59
121,영월,2016-01-16,59
130,울진,2016-01-16,30
132,안면도(감),2016-01-16,53
135,추풍령,2016-01-16,61
136,안동,2016-01-16,65
140,군산,2016-01-16,77
143,대구,2016-01-16,86
146,전주,2016-01-16,51
152,울산,2016-01-16,57
156,광주,2016-01-16,68
160,부산(레),2016-01-16,47
169,흑산도,2016-01-16,60
185,고산,2016-01-16,40
192,진주,2016-01-16,64
201,강화,2016-01-16,80
229,북격렬비도 *,2016-01-16,59
232,천안,2016-01-16,78
268,진도군,2016-01-16,57
273,문경,2016-01-16,55
501,연평도,2016-01-16,57
90,속초,2016-01-17,41
94,광덕산,2016-01-17,46
100,대관령,2016-01-17,37
101,춘천,2016-01-17,58
102,백령도,2016-01-17,57
108,서울,2016-01-17,62
115,울릉도독도(감),2016-01-17,13
116,관악산,2016-01-17,55
119,수원,2016-01-17,54
121,영월,2016-01-17,56
130,울진,2016-01-17,30
132,안면도(감),2016-01-17,57
135,추풍령,2016-01-17,
136,안동,2016-01-17,58
140,군산,2016-01-17,70
143,대구,2016-01-17,72
146,전주,2016-01-17,45
152,울산,2016-01-17,36
156,광주,2016-01-17,48
160,부산(레),2016-01-17,31
169,흑산도,2016-01-17,47
185,고산,2016-01-17,22
192,진주,2016-01-17,46
201,강화,2016-01-17,87
229,북격렬비도 *,2016-01-17,64
232,천안,2016-01-17,62
268,진도군,2016-01-17,50
273,문경,2016-01-17,59
501,연평도,2016-01-17,65
90,속초,2016-01-18,41
94,광덕산,2016-01-18,28
100,대관령,2016-01-18,39
101,춘천,2016-01-18,46
102,백령도,2016-01-18,27
108,서울,2016-01-18,63
115,울릉도독도(감),2016-01-18,19
116,관악산,2016-01-18,37
119,수원,2016-01-18,47
121,영월,2016-01-18,40
130,울진,2016-01-18,24
132,안면도(감),2016-01-18,32
135,추풍령,2016-01-18,
136,안동,2016-01-18,34
140,군산,2016-01-18,39
143,대구,2016-01-18,30
146,전주,2016-01-18,27
152,울산,2016-01-18,24
156,광주,2016-01-18,26
160,부산(레),2016-01-18,21
169,흑산도,2016-01-18,33
185,고산,2016-01-18,35
192,진주,2016-01-18,22
201,강화,2016-01-18,50
229,북격렬비도 *,2016-01-18,42
232,천안,2016-01-18,42
268,진도군,2016-01-18,27
273,문경,2016-01-18,32
90,속초,2016-01-19,26
94,광덕산,2016-01-19,23
100,대관령,2016-01-19,30
101,춘천,2016-01-19,30
102,백령도,2016-01-19,13
108,서울,2016-01-19,45
115,울릉도독도(감),2016-01-19,24
116,관악산,2016-01-19,22
119,수원,2016-01-19,25
121,영월,2016-01-19,17
130,울진,2016-01-19,22
132,안면도(감),2016-01-19,17
135,추풍령,2016-01-19,16
136,안동,2016-01-19,23
140,군산,2016-01-19,18
143,대구,2016-01-19,17
146,전주,2016-01-19,13
152,울산,2016-01-19,13
156,광주,2016-01-19,13
160,부산(레),2016-01-19,13
169,흑산도,2016-01-19,15
185,고산,2016-01-19,15
192,진주,2016-01-19,10
201,강화,2016-01-19,30
229,북격렬비도 *,2016-01-19,18
232,천안,2016-01-19,26
268,진도군,2016-01-19,14
273,문경,2016-01-19,20
501,연평도,2016-01-19,
90,속초,2016-01-20,24
94,광덕산,2016-01-20,27
100,대관령,2016-01-20,23
101,춘천,2016-01-20,43
102,백령도,2016-01-20,19
108,서울,2016-01-20,35
115,울릉도독도(감),2016-01-20,17
116,관악산,2016-01-20,32
119,수원,2016-01-20,34
121,영월,2016-01-20,31
130,울진,2016-01-20,22
132,안면도(감),2016-01-20,24
135,추풍령,2016-01-20,25
136,안동,2016-01-20,31
140,군산,2016-01-20,32
143,대구,2016-01-20,26
146,전주,2016-01-20,24
152,울산,2016-01-20,25
