"","social_date.date","social_date.blog","social_date.twitter","social_date.news","social_date.total"
"624","2017-09-15",1110,1921,84,3115
"625","2017-09-16",928,1910,66,2904
"626","2017-09-17",1225,2267,75,3567
"627","2017-09-18",1483,1994,59,3536
"628","2017-09-19",1326,1791,28,3145
"629","2017-09-20",1221,1818,102,3141
"630","2017-09-21",1171,1663,77,2911
"631","2017-09-22",1150,1842,68,3060
"632","2017-09-23",1025,1906,50,2981
"633","2017-09-24",1080,2053,44,3177
"634","2017-09-25",1379,1884,68,3331
"635","2017-09-26",1241,1904,86,3231
"636","2017-09-27",1121,1791,66,2978
"637","2017-09-28",1050,1824,39,2913
"638","2017-09-29",1041,1747,54,2842
"639","2017-09-30",872,2093,44,3009
"640","2017-10-01",1094,2085,68,3247
"641","2017-10-02",1260,2174,70,3504
"642","2017-10-03",980,2077,45,3102
"643","2017-10-04",791,2212,63,3066
"644","2017-10-05",853,2175,30,3058
"645","2017-10-06",1034,2209,55,3298
"646","2017-10-07",1105,2127,67,3299
"647","2017-10-08",1227,2152,37,3416
"648","2017-10-09",1451,2207,18,3676
"649","2017-10-10",1429,1631,60,3120
"650","2017-10-11",1234,1650,70,2954
"651","2017-10-12",1154,1630,54,2838
"652","2017-10-13",1121,1749,43,2913
"653","2017-10-14",969,1871,27,2867
"654","2017-10-15",1101,1887,25,3013
"655","2017-10-16",1365,1490,66,2921
"656","2017-10-17",1191,1609,71,2871
"657","2017-10-18",1115,1665,60,2840
"658","2017-10-19",1133,1704,49,2886
"659","2017-10-20",1015,1668,101,2784
"660","2017-10-21",959,1848,48,2855
"661","2017-10-22",1197,1983,48,3228
"662","2017-10-23",1446,1657,39,3142
"663","2017-10-24",1274,1750,96,3120
"664","2017-10-25",1119,1679,91,2889
"665","2017-10-26",1232,1518,58,2808
"666","2017-10-27",1067,2868,84,4019
"667","2017-10-28",1006,2588,89,3683
"668","2017-10-29",1158,2155,47,3360
"669","2017-10-30",1290,1879,57,3226
"670","2017-10-31",1182,1759,99,3040
"671","2017-11-01",1199,1675,56,2930
"672","2017-11-02",1146,1531,47,2724
"673","2017-11-03",1034,1587,74,2695
"674","2017-11-04",919,1832,64,2815
"675","2017-11-05",1064,1936,22,3022
"676","2017-11-06",1427,1782,48,3257
"677","2017-11-07",1237,1737,54,3028
"678","2017-11-08",1136,1845,28,3009
"679","2017-11-09",1053,1908,62,3023
"680","2017-11-10",1131,3007,73,4211
"681","2017-11-11",922,2276,44,3242
"682","2017-11-12",1160,2140,50,3350
"683","2017-11-13",1389,1776,108,3273
"684","2017-11-14",1286,1516,118,2920
"685","2017-11-15",1144,1463,112,2719
"686","2017-11-16",1106,1547,96,2749
"687","2017-11-17",1125,2048,107,3280
"688","2017-11-18",929,2118,72,3119
"689","2017-11-19",1110,2002,31,3143
"690","2017-11-20",1270,1828,103,3201
"691","2017-11-21",1136,1803,71,3010
